State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,
,Marshall,64,2,13,5,44,656,244,364,48,,
,Monroe,34,2,0,1,31,105,54,46,5,,
,Perry,5,1,0,0,4,102,41,49,12,,
,Pickens,14,1,4,1,8,63,26,32,5,,
,Pike,6,0,0,3,3,85,38,43,4,,
,Talladega,72,0,7,24,41,"1,107",303,767,37,,
,Washington,82,0,6,2,74,164,43,112,9,,
,Wilcox,6,0,0,0,6,19,3,11,5,,
,Winston,17,0,1,0,16,235,58,169,8,,
ARIZONA,Coconino,123,0,15,3,105,559,171,373,15,16,
,Maricopa,"1,018",26,23,121,848,"7,260","2,050","4,303",907,153,
,Mohave,191,7,16,15,153,"2,411",894,"1,303",214,22,
,Pima,674,28,72,234,340,"11,987","2,762","7,754","1,471",126,
,Pinal,198,7,39,36,116,"3,930",493,"2,731",706,24,
,Yavapai,302,3,20,6,273,"1,568",536,893,139,9,
,Yuma,96,2,5,10,79,934,394,422,118,9,
ARIZONA,Apache,28,0,6,0,22,234,102,126,6,0,
,Cochise,446,4,16,14,412,"1,027",360,527,140,10,
,Gila,66,0,2,2,62,386,130,201,55,11,
,Graham,276,0,0,0,276,248,101,131,16,16,
,La Paz,70,0,0,2,68,368,100,232,36,8,
,Navajo,58,0,10,1,47,636,323,241,72,4,
,Santa Cruz,5,0,0,3,2,437,181,154,102,0,
ARKANSAS,Benton,129,1,33,0,95,500,221,240,39,3,
,Cleveland,2,1,1,0,0,130,55,67,8,3,
,Craighead,21,0,1,1,19,316,134,149,33,5,
,Crawford,16,0,5,1,10,300,113,157,30,1,
,Crittenden,80,0,3,8,69,406,117,255,34,10,
,Faulkner,50,2,13,0,35,716,187,458,71,10,
,Franklin,24,0,1,0,23,196,78,107,11,2,
,Garland,129,3,25,14,87,"2,504","1,152","1,170",182,21,
,Grant,21,0,3,0,18,169,68,84,17,2,
,Jefferson,84,4,9,6,65,535,240,229,66,10,
,Lincoln,14,0,2,0,12,93,56,33,4,2,
,Lonoke,128,0,22,5,101,624,280,266,78,4,
,Madison,30,1,4,1,24,75,36,34,5,0,
,Perry,14,0,1,0,13,69,34,32,3,1,
,Poinsett,49,0,2,1,46,76,69,3,4,4,
,Pulaski,374,2,22,44,306,"1,964",858,889,217,16,
,Saline,131,3,27,10,91,"1,044",327,668,49,6,
,Sebastian,79,0,6,4,69,399,147,232,20,2,
,Washington,132,0,15,2,115,526,200,284,42,5,
ARKANSAS,Arkansas,1,0,0,0,1,93,30,51,12,0,
,Ashley,10,0,2,2,6,201,81,113,7,4,
,Baxter,37,1,6,1,29,607,118,459,30,1,
,Boone,33,0,5,0,28,238,57,179,2,7,
,Bradley,9,1,1,0,7,51,23,18,10,0,
,Calhoun,0,0,0,0,0,28,12,10,6,0,
,Carroll,27,0,0,0,27,230,49,151,30,3,
,Chicot,8,0,0,3,5,74,43,27,4,1,
,Clark,16,0,1,3,12,148,58,84,6,2,
,Cleburne,60,2,7,3,48,293,129,142,22,7,
,Columbia,26,0,1,1,24,206,81,112,13,1,
,Cross,62,0,5,0,57,233,34,185,14,1,
,Dallas,2,0,0,0,2,30,14,14,2,0,
,Drew,38,0,1,1,36,177,83,81,13,7,
,Fulton,17,1,1,0,15,108,49,51,8,1,
,Greene,15,2,3,0,10,157,39,114,4,0,
,Hempstead,31,3,4,0,24,207,69,100,38,1,
,Howard,9,0,1,0,8,63,32,30,1,5,
,Independence,186,2,18,14,152,"1,199",493,616,90,18,
,Izard,5,0,2,0,3,70,35,32,3,4,
,Jackson,47,0,5,1,41,168,62,89,17,6,
,Johnson,20,0,1,0,19,194,130,64,0,9,
,Lawrence,16,1,2,0,13,145,60,85,0,0,
,Little River,10,0,4,0,6,55,33,19,3,0,
,Logan,19,1,4,1,13,270,73,162,35,2,
,Marion,43,0,2,2,39,218,74,141,3,2,
,Mississippi,29,3,11,4,11,366,81,231,54,3,
,Nevada,1,0,0,0,1,19,11,4,4,0,
,Newton,23,2,1,0,20,96,39,47,10,2,
,Ouachita,21,1,2,1,17,122,56,58,8,0,
,Polk,20,0,5,2,13,118,69,43,6,1,
,Pope,29,0,11,0,18,449,183,230,36,4,
,Prairie,1,0,0,0,1,83,25,49,9,0,
,Randolph,0,0,0,0,0,59,3,55,1,2,
,Sevier,26,1,1,1,23,247,115,110,22,0,
,St. Francis,28,0,3,9,16,482,149,333,0,1,
,Union,34,1,8,5,20,415,72,307,36,2,
,White,42,3,10,4,25,808,283,423,102,3,
,Yell,40,1,6,1,32,172,94,59,19,4,
CALIFORNIA,Alameda,728,5,24,287,412,"2,829",626,"1,386",817,24,
,Butte,145,1,22,25,97,"1,373",509,850,14,13,
,Contra Costa,548,16,29,204,299,"3,359","1,169","2,179",11,27,
,El Dorado,235,7,17,21,190,"2,038",738,"1,286",14,20,
,Fresno,652,19,30,126,477,"6,121","1,735","3,472",914,280,
,Imperial,121,2,7,14,98,976,315,633,28,9,
,Kern,"1,891",23,137,461,"1,270","10,541","3,272","5,814","1,455",389,
,Kings,177,3,8,18,148,607,213,332,62,10,
,Los Angeles,"7,362",135,232,"1,967","5,028","19,893","5,311","9,200","5,382",417,
,Madera,252,2,12,27,211,"1,388",520,849,19,2,
,Marin,148,2,10,27,109,961,286,673,2,10,
,Merced,469,5,16,55,393,"2,392",775,"1,603",14,8,
,Monterey,187,6,15,53,113,"1,569",526,"1,029",14,18,
,Napa,60,0,5,4,51,507,187,316,4,2,
,Orange,163,0,5,27,131,"1,425",298,982,145,5,
,Placer,296,3,21,34,238,"1,939",691,"1,209",39,9,
,Riverside,"1,515",24,82,387,"1,022","13,387","3,577","7,412","2,398",43,
,Sacramento,"3,282",47,194,"1,274","1,767","15,525","4,580","10,771",174,195,
,San Benito,66,1,10,1,54,294,111,172,11,2,
,San Bernardino,"1,295",23,69,206,997,"6,866","2,153","3,326","1,387",130,
,San Diego,"1,516",14,93,262,"1,147","7,454","2,010","3,783","1,661",43,
,San Joaquin,"1,085",9,27,205,844,"5,388","1,676","3,576",136,24,
,San Luis Obispo,210,2,26,14,168,"1,340",474,859,7,11,
,San Mateo,221,5,12,45,159,"1,760",190,"1,293",277,9,
,Santa Barbara,171,2,19,33,117,"1,884",569,"1,307",8,19,
,Santa Clara,286,1,27,46,212,"1,817",465,"1,144",208,5,
,Santa Cruz,332,3,32,61,236,"2,298",692,"1,595",11,27,
,Shasta,447,1,33,19,394,"1,104",526,551,27,11,
,Solano,123,1,9,26,87,418,177,231,10,13,
,Sonoma,631,3,34,48,546,"1,628",667,940,21,19,
,Stanislaus,522,4,30,118,370,"3,561","1,315","1,877",369,169,
,Sutter,109,0,7,9,93,719,229,449,41,5,
,Tulare,514,24,29,88,373,,"1,040","2,414",,58,
,Ventura,212,4,20,35,153,"1,326",345,891,90,24,
,Yolo,45,2,5,9,29,344,125,210,9,2,
,Yuba,240,6,18,36,180,"1,177",503,658,16,11,
CALIFORNIA,Alpine,14,1,2,0,11,72,14,58,0,0,
,Amador,62,0,14,5,43,609,229,366,14,3,
,Calaveras,83,0,6,14,63,650,290,351,9,4,
,Colusa,21,0,0,5,16,254,87,163,4,3,
,Del Norte,79,0,16,9,54,293,155,134,4,4,
,Glenn,8,0,0,0,8,141,51,88,2,0,
,Humboldt,137,1,13,20,103,954,273,654,27,8,
,Inyo,58,0,1,2,55,178,66,110,2,4,
,Lake,198,3,10,21,164,859,417,435,7,9,
,Lassen,34,0,7,3,24,148,54,92,2,5,
,Mariposa,42,1,3,0,38,257,96,159,2,2,
,Mendocino,336,5,16,34,281,632,297,331,4,17,
,Modoc,18,0,3,0,15,88,34,54,0,2,
,Mono,15,0,2,1,12,97,40,57,0,0,
,Nevada,164,1,14,11,138,538,205,327,6,1,
,Plumas,138,3,13,3,119,290,139,145,6,0,
,Sierra,6,0,0,1,5,35,19,16,0,1,
,Siskiyou,47,1,6,3,37,219,88,129,2,4,
,Tehama,212,0,6,8,198,369,230,139,0,14,
,Trinity,22,0,1,2,19,66,37,29,0,0,
,Tuolumne,114,1,20,11,82,802,356,438,8,13,
COLORADO,Adams,420,4,71,58,287,"2,718",685,"1,497",536,34,
,Arapahoe,202,2,22,30,148,"1,381",325,937,119,30,
,Boulder,46,1,11,2,32,659,199,420,40,17,
,Clear Creek,17,0,0,0,17,94,31,61,2,1,
,Douglas,233,1,73,18,141,"2,098",498,"1,520",80,22,
,El Paso,822,7,60,18,737,"1,802",638,963,201,38,
,Gilpin,9,0,1,0,8,39,7,32,0,0,
,Jefferson,250,0,38,17,195,"2,844",517,"2,148",179,39,
,Larimer,118,2,29,9,78,"1,067",279,706,82,13,
,Mesa,174,2,32,14,126,"1,394",386,895,113,10,
,Park,20,0,0,0,20,120,55,57,8,1,
,Pueblo,19,2,0,3,14,"1,383",305,"1,021",57,2,
,Teller,14,0,0,0,14,74,26,44,4,2,
,Weld,109,1,13,4,91,956,327,531,98,8,
COLORADO,Alamosa,5,0,0,0,5,35,9,26,0,0,
,Archuleta,12,0,1,0,11,113,30,71,12,0,
,Bent,0,0,0,0,0,15,7,7,1,1,
,Chaffee,15,0,2,1,12,125,32,89,4,0,
,Crowley,6,0,2,0,4,0,0,0,0,0,
,Custer,14,0,4,1,9,45,10,29,6,1,
,Delta,27,0,5,1,21,158,44,107,7,2,
,Dolores,0,0,0,0,0,16,5,11,0,0,
,Eagle,56,1,2,1,52,543,67,471,5,6,
,Fremont,58,1,5,0,52,235,66,160,9,1,
,Grand,14,0,0,0,14,156,31,121,4,0,
,Gunnison,19,0,1,0,18,19,1,16,2,0,
,Hinsdale,1,1,0,0,0,10,1,8,1,0,
,Jackson,3,0,0,0,3,7,2,5,0,0,
,Kiowa,0,0,0,0,0,0,0,0,0,0,
,Kit Carson,6,0,0,0,6,29,10,18,1,0,
,Lake,6,0,0,0,6,24,9,8,7,0,
,La Plata,31,1,15,0,15,343,115,202,26,4,
,Las Animas,5,0,0,0,5,4,1,3,0,0,
,Logan,6,0,1,0,5,36,7,28,1,1,
,Mineral,0,0,0,0,0,1,0,0,1,0,
,Moffat,0,0,0,0,0,29,3,25,1,1,
,Montezuma,66,1,1,1,63,181,73,86,22,2,
,Montrose,28,0,5,0,23,180,60,102,18,1,
,Morgan,2,0,0,1,1,79,12,59,8,1,
,Ouray,10,0,0,0,10,26,5,20,1,0,
,Phillips,0,0,0,0,0,5,0,4,1,0,
,Pitkin,18,0,4,0,14,111,14,82,15,0,
,Prowers,18,0,1,0,17,40,20,19,1,0,
,Rio Grande,5,0,0,0,5,37,16,19,2,1,
,Routt,19,0,6,0,13,62,12,46,4,0,
,Saguache,11,0,0,0,11,25,7,15,3,0,
,San Juan,4,0,0,0,4,29,9,19,1,0,
,San Miguel,2,0,0,0,2,56,15,40,1,0,
,Sedgwick,7,0,0,0,7,22,5,14,3,0,
,Summit,48,0,3,6,39,579,63,505,11,6,
,Washington,8,0,2,0,6,56,20,31,5,1,
,Yuma,5,0,1,0,4,30,4,25,1,1,
DELAWARE,New Castle,"1,544",14,97,430,"1,003","7,719","1,992","4,986",741,9,
FLORIDA,Alachua,878,1,46,105,726,"3,389","1,175","2,010",204,23,
,Baker,75,1,3,5,66,276,37,219,20,2,
,Bay,417,6,57,48,306,"2,381",611,"1,618",152,4,
,Brevard,"1,089",4,61,127,897,"5,709","1,309","4,047",353,26,
,Broward,344,4,16,114,210,"1,011",193,731,87,3,
,Charlotte,500,3,15,68,414,"4,535","1,083","3,234",218,2,
,Clay,819,5,51,90,673,"4,576","1,058","3,281",237,28,
,Collier,"1,110",6,53,224,827,"5,154","1,258","3,590",306,22,
,Escambia,"2,217",18,127,554,"1,518","9,468","2,417","6,364",687,24,
,Flagler,214,0,13,39,162,"1,943",484,"1,358",101,6,
,Gadsden,379,1,2,24,352,802,536,248,18,2,
,Gilchrist,36,2,0,0,34,197,76,109,12,0,
,Hernando,576,2,75,77,422,"5,841","1,662","3,848",331,11,
,Hillsborough,"4,927",46,241,"1,089","3,551","29,113","7,505","19,144","2,464",82,
,Indian River,327,4,30,64,229,"2,913",735,"2,063",115,5,
,Jefferson,174,0,7,6,161,125,50,67,8,2,
,Lake,897,7,56,57,777,"3,673","1,229","2,166",278,21,
,Lee,"1,665",28,91,450,"1,096","12,468","4,174","7,394",900,98,
,Leon,343,6,16,59,262,"1,592",792,674,126,44,
,Manatee,"2,130",8,70,508,"1,544","11,288","2,870","7,784",634,27,
,Marion,"1,438",15,109,117,"1,197","4,908","1,548","2,990",370,6,
,Martin,401,1,10,142,248,"3,293",749,"2,418",126,14,
,Miami-Dade,"8,749",95,339,"2,552","5,763","51,712","9,284","36,211","6,217",82,
,Nassau,606,1,6,22,577,"1,496",482,905,109,12,
,Okaloosa,462,3,29,91,339,"3,769",767,"2,799",203,4,
,Orange,"6,991",74,372,"2,316","4,229","33,577","9,907","19,981","3,689",0,
,Osceola,799,9,28,138,624,"6,732","2,631","3,716",385,0,
,Palm Beach,"2,895",33,182,892,"1,788","18,782","4,814","12,034","1,934",124,
,Pasco,"1,497",22,111,315,"1,049","14,588","4,040","9,452","1,096",64,
,Pinellas,"1,271",8,126,245,892,"8,386","2,077","5,831",478,43,
,Polk,"1,525",28,86,254,"1,157","11,265","3,874","6,537",854,0,
,Santa Rosa,247,2,15,22,208,"1,513",418,992,103,5,
,Sarasota,739,7,53,173,506,"8,770","2,195","6,163",412,7,
,Seminole,735,4,33,105,593,"4,243","1,166","2,712",365,4,
,St. Johns,545,4,13,61,467,"4,301",945,"3,125",231,7,
,St. Lucie,329,4,21,70,234,"1,901",628,"1,155",118,12,
,Volusia,"1,044",4,88,152,800,"5,906","1,945","3,474",487,30,
,Wakulla,88,0,11,8,69,648,167,437,44,6,
FLORIDA,Bradford,116,1,7,3,105,406,199,163,44,2,
,Calhoun,21,0,2,1,18,89,32,55,2,1,
,Citrus,457,7,21,55,374,"2,865",728,"1,940",197,20,
,Columbia,237,2,14,20,201,"1,457",505,872,80,0,
,DeSoto,179,2,4,39,134,833,300,473,60,5,
,Dixie,82,0,8,8,66,615,238,340,37,6,
,Franklin,17,0,0,0,17,76,14,57,5,0,
,Glades,56,0,3,3,50,330,123,170,37,3,
,Gulf,53,0,2,1,50,187,42,133,12,0,
,Hamilton,59,1,6,8,44,272,85,165,22,0,
,Hardee,65,0,6,21,38,598,119,409,70,0,
,Hendry,259,4,4,46,205,"1,136",504,528,104,17,
,Highlands,181,5,11,21,144,"1,912",601,"1,202",109,5,
,Holmes,41,0,4,0,37,271,79,154,38,0,
,Jackson,193,6,13,11,163,565,221,300,44,2,
,Lafayette,19,0,0,0,19,30,13,14,3,0,
,Levy,205,0,26,14,165,"1,033",373,557,103,3,
,Madison,146,0,4,9,133,359,157,183,19,1,
,Monroe,182,4,13,15,150,"2,144",479,"1,580",85,3,
,Okeechobee,260,2,19,26,213,"1,060",493,525,42,2,
,Putnam,617,7,28,64,518,"3,003","1,399","1,385",219,6,
,Sumter,142,2,14,22,104,842,257,529,56,1,
,Suwannee,120,1,8,1,110,507,160,300,47,1,
,Taylor,98,0,11,0,87,255,127,115,13,1,
,Union,58,1,1,4,52,130,60,55,15,2,
,Walton,163,1,9,11,142,"1,006",254,682,70,2,
,Washington,31,0,2,2,27,241,72,143,26,0,
GEORGIA,Richmond,"1,124",20,143,723,238,"13,911","3,502","8,755","1,654",184,
,Barrow,225,2,7,10,206,974,195,689,90,,
,Bibb,176,1,16,68,91,"2,487",544,"1,705",238,,
,Brooks,78,0,0,3,75,252,61,153,38,0,
,Burke,,5,0,0,,705,242,430,33,,
,Butts,61,0,10,4,47,769,151,542,76,,
,Carroll,403,1,24,21,357,"1,992",615,"1,178",199,,
,Catoosa,74,3,4,9,58,"1,131",276,705,150,,
,Cherokee,127,2,2,16,107,"1,605",389,"1,144",72,8,
,Clayton,"1,424",27,74,669,654,"10,067","4,023","4,602","1,442",60,
,Cobb,"1,236",18,96,555,567,"12,765","3,477","7,969","1,319",39,
,Columbia,93,0,21,25,47,"2,278",346,"1,831",101,8,
,Coweta,138,4,16,32,86,"1,425",382,900,143,,
,Crawford,26,0,1,0,25,391,114,248,29,,
,Dade,,0,1,0,,197,59,112,26,,
,Dawson,19,1,4,2,12,409,82,290,37,1,
,DeKalb,"4,600",102,180,"2,933","1,385","37,343","11,461","19,336","6,546",216,
,Dougherty,21,0,0,5,16,511,187,279,45,,
,Douglas,164,1,11,47,105,"2,551",753,"1,537",261,1,
,Echols,11,2,0,0,9,47,25,18,4,0,
,Fayette,33,1,3,8,21,652,213,394,45,1,
,Floyd,18,0,0,0,18,6,2,2,2,,
,Forsyth,121,5,21,23,72,"1,971",503,"1,332",136,6,
,Fulton,904,12,55,457,380,"7,118","2,545","3,405","1,168",28,
,Gwinnett2,"1,068",33,12,726,297,"18,094","5,726","10,389","1,979",103,
,Hall,236,3,29,46,158,"2,448",651,"1,526",271,17,
,Haralson,75,1,4,1,69,397,112,251,34,,
,Heard,11,0,1,0,10,162,44,91,27,,
,Henry,309,3,13,130,163,"4,351","1,035","2,865",451,6,
,Jasper,12,0,0,0,12,268,101,153,14,,
,Jones,31,1,2,5,23,561,172,341,48,0,
,Lamar,34,1,1,2,30,226,68,136,22,,
,Lanier,13,0,1,0,12,166,66,89,11,,
,Liberty,89,2,2,16,69,648,242,377,29,,
,Long,26,2,9,2,13,260,119,118,23,,
,Lowndes,111,1,10,26,74,"1,154",306,794,54,,
,Madison,88,0,1,5,82,591,82,467,42,6,
,Marion,7,0,1,0,6,28,6,18,4,0,
,McDuffie,41,4,0,13,24,350,93,222,35,0,
,Murray,45,0,4,4,37,678,141,477,60,,
,Newton,346,8,8,38,292,"1,985",770,992,223,,
,Oglethorpe,48,1,3,1,43,447,143,274,30,0,
,Paulding,189,0,16,25,148,"2,557",608,"1,692",257,19,
,Rockdale,329,4,24,69,232,"2,548",556,"1,718",274,13,
,Spalding,127,2,11,16,98,"1,645",477,"1,048",120,0,
,Terrell,18,1,1,0,16,139,58,70,11,,
,Twiggs,23,1,0,0,22,201,44,133,24,,
,Walker,287,1,7,9,270,"1,120",346,697,77,,
,Walton,110,3,9,17,81,"1,019",290,596,133,,
,Whitfield,252,1,11,14,226,"1,737",417,"1,246",74,,
GEORGIA,Baldwin5,,0,5,15,,894,305,552,37,,
,Banks,129,0,3,8,118,707,130,539,38,,
,Ben Hill,16,0,3,1,12,319,68,234,17,,
,Bleckley,14,2,0,1,11,99,24,68,7,0,
,Bulloch,42,0,5,10,27,783,238,481,64,,
,Calhoun,4,0,0,0,4,66,26,34,6,0,
,Camden5,,4,1,6,,495,166,308,21,,
,Charlton,7,0,1,0,6,100,28,66,6,,
,Chattooga,46,0,1,3,42,309,99,201,9,,
,Decatur,41,2,1,4,34,310,97,197,16,,
,Dodge,9,0,0,1,8,40,13,23,4,,
,Early,33,1,4,3,25,207,56,141,10,,
,Evans,4,0,1,1,2,167,61,80,26,,
,Franklin,27,0,3,3,21,405,142,205,58,,
,Gordon,46,0,8,5,33,649,176,440,33,,
,Grady,12,1,1,2,8,184,63,110,11,,
,Habersham,54,0,10,0,44,512,167,329,16,0,
,Hart,77,2,2,1,72,447,154,270,23,,
,Irwin,7,0,2,0,5,128,46,67,15,4,
,Jackson,46,0,3,4,39,"1,132",289,787,56,,
,Jeff Davis,43,1,3,1,38,378,53,288,37,,
,Jefferson,22,0,1,2,19,188,83,81,24,,
,Laurens,49,1,9,3,36,598,169,364,65,,
,Lincoln4,5,0,0,0,5,,42,,7,,
,Lumpkin,49,0,10,1,38,405,99,285,21,,
,Miller,6,0,0,1,5,59,13,42,4,,
,Mitchell,41,1,0,2,38,105,30,70,5,0,
,Polk,67,0,6,11,50,719,253,360,106,11,
,Pulaski,2,0,0,0,2,88,31,54,3,,
,Putnam,61,1,0,1,59,330,123,193,14,,
,Rabun,11,0,1,2,8,200,45,148,7,0,
,Screven,23,0,0,4,19,130,43,79,8,,
,Seminole,16,0,2,1,13,90,28,56,6,,
,Stephens,27,0,2,4,21,660,97,538,25,,
,Taliaferro,2,0,0,0,2,65,37,26,2,,
,Taylor,2,1,0,1,0,74,14,55,5,0,
,Thomas4,62,1,4,7,50,,,355,25,4,
,Tift,103,2,7,18,76,963,265,616,82,,
,Toombs,28,0,1,5,22,261,91,139,31,,
,Towns,11,0,0,0,11,170,52,109,9,,
,Treutlen,22,0,0,0,22,133,27,103,3,,
,Turner,9,0,2,1,6,101,21,72,8,1,
,Upson,55,0,2,4,49,409,117,278,14,,
,Ware,55,2,10,6,37,743,176,519,48,0,
,Washington,37,1,1,4,31,280,90,183,7,,
,Wheeler,1,0,0,0,1,68,22,38,8,,
,White,19,2,1,2,14,296,111,156,29,,
,Wilcox,4,0,0,0,4,47,30,14,3,,
,Wilkes,1,0,0,0,1,13,5,5,3,0,
HAWAII,Hawaii,441,4,78,73,286,"5,494","1,208","3,796",490,67,
,Kauai,208,2,52,20,134,"2,584",710,"1,718",156,10,
IDAHO,Ada,164,2,17,12,133,"1,068",326,693,49,8,
,Bannock,11,0,1,1,9,127,23,100,4,2,
,Boise,11,0,0,0,11,136,52,80,4,1,
,Bonneville,100,1,16,3,80,858,199,605,54,5,
,Canyon,75,1,10,3,61,675,214,392,69,9,
,Franklin,4,0,2,0,2,43,5,35,3,2,
,Gem,6,0,5,0,1,30,11,17,2,0,
,Jefferson,18,0,3,0,15,204,56,135,13,0,
,Kootenai,122,2,18,7,95,945,297,582,66,9,
,Nez Perce,5,1,1,0,3,66,17,49,0,1,
,Owyhee,20,0,13,0,7,157,38,109,10,1,
,Power,1,0,0,0,1,33,3,28,2,0,
IDAHO,Adams,7,0,0,0,7,52,10,40,2,1,
,Bear Lake,2,0,1,0,1,38,10,26,2,0,
,Benewah,17,1,1,1,14,22,7,12,3,0,
,Bingham,17,2,1,1,13,241,57,170,14,0,
,Blaine,4,0,0,0,4,48,30,16,2,0,
,Bonner,33,1,3,0,29,388,85,266,37,3,
,Boundary,6,0,1,0,5,71,25,42,4,2,
,Butte,19,0,0,3,16,9,7,1,1,0,
,Camas,1,0,0,0,1,24,8,15,1,0,
,Caribou,1,0,1,0,0,20,6,14,0,0,
,Clark,0,0,0,0,0,16,5,11,0,0,
,Clearwater,13,0,0,0,13,114,17,94,3,0,
,Custer,5,0,1,0,4,49,6,43,0,0,
,Elmore,11,0,2,0,9,77,14,58,5,0,
,Fremont,4,0,1,0,3,100,20,79,1,0,
,Gooding,13,0,5,0,8,40,13,18,9,0,
,Idaho,9,0,1,0,8,88,17,58,13,0,
,Jerome,8,1,2,0,5,120,36,74,10,1,
,Latah,21,0,2,0,19,151,65,73,13,2,
,Lemhi,2,0,0,0,2,9,4,4,1,0,
,Lewis,4,0,1,0,3,28,14,11,3,1,
,Lincoln,2,0,0,0,2,5,1,3,1,0,
,Madison,20,0,7,0,13,79,17,61,1,1,
,Minidoka,19,1,5,0,13,178,37,123,18,2,
,Oneida,7,0,0,0,7,40,8,29,3,0,
,Payette,4,0,2,0,2,62,18,35,9,0,
,Teton,10,0,0,1,9,25,7,16,2,0,
,Twin Falls,41,0,4,0,37,280,109,132,39,3,
,Valley,9,0,5,0,4,88,31,50,7,2,
,Washington,3,0,0,0,3,26,10,12,4,0,
INDIANA,Allen,56,0,18,13,25,"1,110",219,815,76,4,
,Bartholomew,22,1,0,1,20,394,40,333,21,0,
,Boone,3,1,0,2,0,282,66,190,26,3,
,Brown,3,1,0,0,2,95,26,66,3,1,
,Carroll,7,0,0,1,6,193,55,122,16,2,
,Clark,33,0,6,7,20,654,244,356,54,5,
,Delaware,27,1,4,4,18,521,125,341,55,0,
,Elkhart,58,1,23,21,13,"2,123",656,"1,236",231,19,
,Floyd,1,0,0,1,0,733,143,538,52,0,
,Gibson,8,0,2,0,6,196,40,151,5,0,
,Greene,5,0,1,1,3,143,38,89,16,0,
,Hancock,7,0,2,2,3,317,124,177,16,0,
,Harrison,10,0,2,3,5,461,114,308,39,2,
,Howard,41,0,4,2,35,630,243,355,32,0,
,Johnson,10,1,0,1,8,799,119,665,15,0,
,Lake,22,1,5,9,7,"1,019",160,766,93,0,
,LaPorte,22,0,5,8,9,835,288,507,40,2,
,Monroe,50,0,9,9,32,817,277,482,58,5,
,Newton,5,0,1,0,4,190,75,101,14,1,
,Porter,43,1,2,1,39,"1,074",211,823,40,0,
,Putnam,22,0,4,3,15,243,92,115,36,0,
,Shelby,36,0,4,4,28,362,108,232,22,0,
,St. Joseph,107,1,9,21,76,"1,990",610,"1,280",100,15,
,Tippecanoe,35,0,6,3,26,889,251,593,45,11,
,Tipton,12,0,1,2,9,140,63,73,4,0,
,Vanderburgh,66,3,4,9,50,"1,318",173,"1,100",45,8,
,Warrick,134,0,8,0,126,707,134,551,22,2,
,Wells,0,0,0,0,0,135,41,82,12,2,
INDIANA,Blackford,0,0,0,0,0,58,14,40,4,0,
,Daviess,5,0,0,0,5,71,20,37,14,1,
,Grant,13,0,3,3,7,429,99,290,40,0,
,Henry,3,1,2,0,0,675,258,377,40,1,
,Huntington,7,0,2,2,3,138,35,94,9,0,
,Jackson,15,0,3,2,10,382,88,285,9,0,
,Jennings,52,0,7,2,43,148,126,14,8,1,
,Knox,3,0,0,0,3,23,14,6,3,0,
,LaGrange,2,0,0,1,1,244,63,169,12,0,
